="",="Factor1",="Factor2",="Factor3",="Factor4",="Factor5",="Factor6",="Factor7",="Factor8",="Factor9",="Factor10",="Factor11",="Factor12",="Factor13",="Factor14",="Factor15",="Factor16",="Factor17",="Factor18",="Factor19",="Factor20",="Factor21",="Factor22"
="staffqoi64mean_pooled",=".6940573",="-.1647496",=".2735038",=".2679641",="-.215576",="-.0884489",="-.2069617",=".0327386",=".0639088",="-.0460007",="-.0643099",="-.0954187",="-.0746968",=".0551682",="-.0052879",="-.030285",="-.073242",="-.0292652",=".079087",=".0041742",=".0194711",=".0160233"
="staffqoi87mean_pooled",=".6567957",="-.0703644",=".2512204",=".2434135",="-.2373828",="-.2087572",=".1276401",=".0261128",=".065619",=".0426355",="-.0598332",=".0849371",="-.0566057",=".0388111",=".0008721",="-.0574988",="-.0274679",=".0536464",="-.040669",="-.0697694",=".0300276",="-.0335909"
="staffqoi98mean_pooled",=".696074",="-.2662719",="-.0531099",=".3333412",="-.1202963",="-.3243504",=".0284211",="-.0311576",="-.0739934",="-.0757199",="-.0335849",="-.0395886",="-.1366964",="-.0390235",=".0209987",=".0085633",="-.0325751",=".011358",="-.0268917",=".0144474",=".0412842",=".0131816"
="staffqoi103mean_pooled",=".2306163",="-.0990055",=".6359369",=".0020683",=".4402255",=".0693781",="-.0475077",=".009947",="-.131425",=".2887275",=".0267421",=".0101789",="-.0190511",=".0261788",=".0168221",=".0027658",="-.0512185",="-.002651",=".0040489",=".0060111",=".0055094",=".0051518"
="staffqoi104mean_pooled",=".2573755",="-.0582755",=".5872255",="-.017183",=".4699224",="-.0138703",=".0183565",="-.0090091",="-.1018612",=".3068889",=".029971",=".0290141",="-.0270662",="-.0172069",=".057119",=".0016143",=".0009162",="-.0094901",="-.0201557",="-.0096003",="-.0005599",="-.0025714"
="staffqoi105mean_pooled",=".4015003",="-.1474203",=".6225568",="-.0123837",=".3676864",=".0076565",="-.0009248",=".0183892",=".0955533",="-.1152469",="-.0283297",="-.0095568",="-.0683758",=".0225643",="-.0172476",="-.0261167",="-.0316659",="-.0619689",="-.029991",=".0027822",=".0018416",=".0297097"
="staffqoi109mean_pooled",=".3282066",="-.032369",=".6032857",="-.0090237",=".3416215",="-.0921235",=".055271",="-.0316275",=".0099689",="-.0417058",="-.0088584",=".0101461",=".0508186",="-.0384097",=".0137863",="-.016859",=".0707379",=".0824194",=".0742903",=".0003432",=".0170999",="-.0246136"
="staffqoi111mean_pooled",=".3236339",="-.11687",=".5187542",=".0443001",=".3396021",="-.0481465",=".1553573",=".0764846",=".059454",="-.3607201",=".0224664",=".0128162",=".0541356",="-.0135616",="-.0292645",="-.0011805",=".0174626",=".0303868",=".0135031",="-.0099081",=".0188741",="-.001129"
="staffqoi112mean_pooled",=".5597029",="-.0614349",=".5602749",=".040958",=".1518507",="-.065984",=".0660704",="-.0341095",=".0966203",="-.1948879",="-.0224145",=".0100899",=".0873348",="-.0374038",="-.0560221",=".0652524",="-.0317835",="-.0485861",="-.0531225",=".0247492",="-.0453954",="-.0004197"
="staffqoi128mean_pooled",=".3290945",=".1944298",=".2934164",=".0565124",="-.3070191",=".3322491",=".3380684",=".1359361",="-.2449476",="-.0144284",=".0673395",="-.0420932",="-.0012733",=".0372608",=".0262586",="-.0114794",="-.0355886",="-.0140733",=".0047501",=".0172643",="-.0131777",=".0097572"
