="Regression of Outcome on Math VA on Sibling Census Restricted Sample"

="",="Overall Enrollment",="",="",="",="2 Year Enrollment",="",="",="",="4 Year Enrollment",="",="",=""
="",="Original w/ Census Leave Out",="Original w/ Sibling Leave Out",="Census w/ Sibling Leave Out",="Sibling w/ Census Leave Out",="Original w/ Census Leave Out",="Original w/ Sibling Leave Out",="Census w/ Sibling Leave Out",="Sibling w/ Census Leave Out",="Original w/ Census Leave Out",="Original w/ Sibling Leave Out",="Census w/ Sibling Leave Out",="Sibling w/ Census Leave Out"

="2018.year#c.prior_math_z_score",="0.086***",="0.086***",="0.086***",="0.086***",="-0.055***",="-0.055***",="-0.055***",="-0.055***",="0.141***",="0.142***",="0.141***",="0.142***"
="",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="2015.year#c.prior_math_z_score#c.prior_math_z_score",="-0.011***",="-0.011***",="-0.011***",="-0.011***",="-0.028***",="-0.028***",="-0.028***",="-0.028***",="0.017***",="0.017***",="0.017***",="0.017***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="2016.year#c.prior_math_z_score#c.prior_math_z_score",="-0.016***",="-0.015***",="-0.016***",="-0.015***",="-0.033***",="-0.033***",="-0.033***",="-0.033***",="0.017***",="0.017***",="0.017***",="0.017***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2017.year#c.prior_math_z_score#c.prior_math_z_score",="-0.014***",="-0.013***",="-0.014***",="-0.013***",="-0.027***",="-0.027***",="-0.027***",="-0.027***",="0.013***",="0.013***",="0.013***",="0.013***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="2018.year#c.prior_math_z_score#c.prior_math_z_score",="-0.003*",="-0.003",="-0.003*",="-0.003",="-0.035***",="-0.035***",="-0.035***",="-0.035***",="0.032***",="0.032***",="0.032***",="0.032***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2015.year#c.prior_math_z_score#c.prior_math_z_score#c.prior_math_z_score",="-0.001",="-0.000",="-0.001",="-0.000",="0.009***",="0.009***",="0.009***",="0.009***",="-0.010***",="-0.010***",="-0.010***",="-0.010***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2016.year#c.prior_math_z_score#c.prior_math_z_score#c.prior_math_z_score",="0.001",="0.001",="0.001",="0.001",="0.011***",="0.011***",="0.011***",="0.011***",="-0.011***",="-0.011***",="-0.011***",="-0.011***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2017.year#c.prior_math_z_score#c.prior_math_z_score#c.prior_math_z_score",="0.000",="0.000",="0.000",="0.000",="0.009***",="0.009***",="0.009***",="0.009***",="-0.009***",="-0.009***",="-0.009***",="-0.009***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2018.year#c.prior_math_z_score#c.prior_math_z_score#c.prior_math_z_score",="-0.007***",="-0.007***",="-0.007***",="-0.007***",="0.002*",="0.002*",="0.002*",="0.002*",="-0.009***",="-0.009***",="-0.009***",="-0.009***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="_cons",="1.652***",="1.655***",="1.651***",="1.655***",="0.868***",="0.868***",="0.868***",="0.868***",="0.783***",="0.786***",="0.783***",="0.786***"
="",="(0.039)",="(0.039)",="(0.039)",="(0.039)",="(0.043)",="(0.043)",="(0.043)",="(0.043)",="(0.036)",="(0.037)",="(0.036)",="(0.037)"

="Y Mean",=".733",=".733",=".733",=".733",=".364",=".364",=".364",=".364",=".37",=".37",=".37",=".37"
="$ R^2 $",=".118",=".117",=".118",=".117",=".0549",=".0549",=".0548",=".0549",=".243",=".242",=".242",=".241"
="Observations",="414,958",="414,958",="414,958",="414,958",="414,958",="414,958",="414,958",="414,958",="414,958",="414,958",="414,958",="414,958"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
